Event Data Level Sequence In Catalog,Unq Users level start,Event Data Unq Users Level Started (Before X Days),Unq Users level complete,Event Data Unq Users Level Completed (Before X Days),Unq Users level fail,Event Data # Level Start Events,Event Data # Level Fail Events,Event Data # Level Complete Events,# Level Steps,Avg Stacks Placed to Complete,Unq Users Level complete (1st attempt),Unq Users Level complete (2nd attempt),Unq Users Level complete (3+ attempt),Unq Users level step,Avg Stacks Placed to Fail,Avg goal complete % - Lvl Fail,# Rv Slot Unlock,# powerup used,unq users used rv slot,Coin Sink,# Level Pre Fail Events,Payers,Total Customer,Median Coin Balance,Coin Balance Below 20,Booster Balance 0,Total Level Revenue,Total Level RV Revenue,Total Level Ad Revenue,IAP Revenue,Funnel %,Level Churn %,Level Fail %,Fail / User,Absolute Level Fail % (Unique),Retry Ratio,Lvl complete % (1st Attempt),Lvl complete % (2nd Attempt),Lvl complete % (3+ Attempt),Unique Level Fail %,Avg Play on used,Avg Powerup Used,Rv Slot % (unique),Level Pre Fail %,Total Revenue / User,Total RV Revenue / User,Total Ad Revenue / User,IAP Revenue / User,ARPPU
1,"1,329,168","1,234,325","1,154,785","1,074,104","176,498","1,585,665","243,474","1,170,498","3,604,437",74.3,"1,014,186","110,889","30,606","934,411",55.3,50.7,"1,629","3,917",752,"5,048,890","299,647",381,"9,985",205,"13,313","1,145","$1,537.68",$145.70,"$1,441.87","$2,156.99",134.6%,13.0%,15.4%,0.2,70.3%,1.4,76.3%,8.3%,2.3%,13.3%,2.71,0.00,0.1%,18.9%,$0.00,$0.00,$0.00,$0.00,$0.15
2,"1,084,275","1,009,357","972,079","905,204","200,098","1,372,047","279,463","975,336","2,345,103",66.8,"789,947","133,522","48,990","612,236",53.8,66.2,"106,735","134,777","84,137","6,123,700","333,997",92,"8,199",210,"34,384",0,"$13,352.07","$4,870.56","$11,635.11",$693.95,113.3%,10.3%,20.4%,0.3,56.5%,1.4,72.9%,12.3%,4.5%,18.5%,2.16,0.10,7.8%,24.3%,$0.01,$0.00,$0.01,$0.00,$1.63
3,"985,345","918,750","858,116","799,456","308,430","1,600,940","591,087","860,892","4,430,082",105.4,"591,207","148,532","118,882","891,317",79.8,63.5,"127,739","341,393","82,072","9,314,385","689,039",176,"8,321",215,"80,359",0,"$19,100.55","$12,314.26","$18,235.93","$1,365.00",100.0%,13.0%,36.9%,0.6,90.5%,1.9,60.0%,15.1%,12.1%,31.3%,4.50,0.21,8.3%,43.0%,$0.02,$0.01,$0.02,$0.00,$2.30
4,"859,357","802,001","761,350","710,182","269,631","1,352,701","485,604","763,765","4,331,522",96.8,"522,296","136,241","103,362","777,593",68.2,58.3,"164,729","318,426","112,137","7,207,385","552,739",214,"8,389",220,"109,668",0,"$59,584.15","$10,878.44","$58,102.25","$1,816.60",88.7%,11.4%,35.9%,0.6,90.5%,1.8,60.8%,15.9%,12.0%,31.4%,5.04,0.24,13.0%,40.9%,$0.07,$0.01,$0.07,$0.00,$7.10
5,"806,350","754,080","672,838","627,792","373,030","1,824,387","993,746","674,874","6,425,523",119.7,"366,257","128,021","179,202","758,960",65.9,43.8,"127,026","480,731","90,366","7,280,805","1,095,749",412,"8,602",225,"141,327",34,"$69,676.27","$12,204.86","$67,235.96","$3,136.22",78.4%,16.7%,54.5%,1.2,94.1%,2.7,45.4%,15.9%,22.2%,46.3%,7.97,0.26,11.2%,60.1%,$0.09,$0.02,$0.08,$0.00,$8.10
6,"689,676","644,055","629,332","587,449","246,552","1,247,772","533,218","631,221","4,339,656",69.7,"398,035","114,266","117,528","629,966",49.6,58.9,"250,002","441,871","168,880","4,850,885","579,519",248,"8,674",192,"14,566",35,"$30,075.05","$7,006.76","$27,425.82","$1,820.42",73.3%,8.8%,42.7%,0.8,91.3%,2.0,57.7%,16.6%,17.0%,35.7%,6.29,0.35,24.5%,46.4%,$0.04,$0.01,$0.04,$0.00,$3.47
7,"655,819","613,165","584,602","545,634","337,265","1,513,849","840,095","586,245","5,018,688",79.4,"279,930","127,468","177,780","610,401",47.0,46.4,"246,780","466,393","126,549","5,785,350","908,036",442,"8,857",135,"28,407",6,"$64,694.17","$22,400.78","$62,237.66","$3,509.13",68.1%,11.0%,55.5%,1.3,93.1%,2.6,42.7%,19.4%,27.1%,51.4%,7.65,0.31,19.3%,60.0%,$0.10,$0.03,$0.09,$0.01,$7.30
8,"611,020","570,798","570,576","532,344","144,860","888,462","267,432","572,160","2,848,530",85.4,"432,884","82,896","55,212","531,534",63.6,54.9,"126,842","286,078","86,807","2,155,680","289,207",145,"8,904",122,"36,737","18,087","$35,947.24","$10,153.73","$33,385.59","$1,037.49",66.5%,6.7%,30.1%,0.4,87.0%,1.6,70.8%,13.6%,9.0%,23.7%,4.66,0.32,14.2%,32.6%,$0.06,$0.02,$0.05,$0.00,$4.04
9,"576,354","537,790","558,515","521,050","139,781","805,019","216,799","560,043","2,368,519",74.8,"415,416","92,390","51,038","488,020",45.8,47.1,"81,168","216,528","53,357","2,205,825","232,460",182,"8,923",122,"33,280","39,890","$28,949.31","$6,868.39","$28,001.71","$1,018.07",65.1%,3.1%,26.9%,0.4,84.7%,1.4,72.1%,16.0%,8.9%,24.3%,4.11,0.27,9.3%,28.9%,$0.05,$0.01,$0.05,$0.00,$3.24
10,"573,481","535,503","539,172","502,886","241,399","1,122,995","526,530","540,616","3,734,562",109.9,"304,996","114,454","120,163","524,607",44.8,29.6,"122,841","341,838","63,620","3,420,905","562,215",284,"9,062",125,"35,538","61,897","$32,531.26","$6,729.87","$31,041.83","$1,996.99",62.8%,6.1%,46.9%,0.9,91.5%,2.1,53.2%,20.0%,21.0%,42.1%,6.51,0.30,11.1%,50.1%,$0.06,$0.01,$0.05,$0.00,$3.59
